Address,BBL,BIN,CouncilDist,DropOff_SiteName,Latitude,Longitude,NTAName,Number,ObjectId,Street,Zipcode,boroCD,ct2010,point
2040 White Plains Rd,2042847501.0,2114768,13,Staples,40.85171272,-73.86778588,Pelham Parkway,2040,26,WHITE PLAINS RD,10462,211,22404,POINT (-73.86778587999999 40.85171272000008)
940 Madison Ave,1013890017.0,1041644,4,Apple Store,40.77326199,-73.96436877,Upper East Side-Carnegie Hill,940,95,MADISON AVE,10021,108,130,POINT (-73.96436876999996 40.77326199000004)
123 Flatbush Ave,,,35,Apple Store,40.68534272,-73.97837326,Fort Greene,123,7,FLATBUSH AVE,11217,302,35,POINT (-73.97837325999996 40.68534272000005)
9015 Queens Blvd,4.0186001e9,4045999,25,Apple Store,40.73384721,-73.87157752,Elmhurst,90-15,90,QUEENS BLVD,11373,404,683,POINT (-73.87157752 40.73384721000008)
767 5 Ave,1012940001.0,1036082,4,Apple Store,40.76402009,-73.97318913,Midtown-Midtown South,767,85,5 AVE,10153,105,11202,POINT (-73.97318913 40.76402009000003)
247 Bedford Ave,3023520090.0,3421593,34,Apple Store,40.71566748,-73.96003472,North Side-South Side,247,39,BEDFORD AVE,11211,301,553,POINT (-73.96003471999995 40.715667480000036)
390 6 Ave,1005530007.0,1008935,1,Staples,40.73323537,-73.9998268,West Village,390,53,6 AVE,10011,102,63,POINT (-73.99982679999994 40.73323537000005)
529 5 Ave,1012780069.0,1035365,4,Best Buy,40.75446693,-73.97945529,Midtown-Midtown South,529,71,5 AVE,10017,105,94,POINT (-73.97945528999998 40.754466930000035)
4109 Park Ave,2029000039.0,2009448,15,Salvation Army Thrift Store,40.84537522,-73.90063111,Mount Hope,4109,58,PARK AVE,10457,206,231,POINT (-73.90063110999995 40.84537522000005)
52 E 14 St,1005650021.0,1009217,2,Best Buy,40.73476931,-73.99063277,West Village,52,70,E 14 ST,10003,102,61,POINT (-73.99063276999993 40.73476931000005)
268 W 96 St,1012430059.0,1033710,6,Salvation Army Thrift Store,40.79496684,-73.97255548,Upper West Side,268,43,W 96 ST,10025,107,183,POINT (-73.97255547999998 40.79496684000003)
13107 40 Rd,4050667501.0,4534020,20,Best Buy,40.75594129,-73.83604285,Flushing,131-07,11,40 RD,11354,407,871,POINT (-73.83604284999996 40.75594129000007)
625 Atlantic Ave,3020020001.0,3057470,35,Best Buy,40.68345651,-73.97561562,Fort Greene,625,81,ATLANTIC AVE,11217,302,35,POINT (-73.97561561999999 40.68345651000004)
5680 Broadway,2032680001.0,2016172,11,Staples,40.88138222,-73.90302552,Spuyten Duyvil-Kingsbridge,5680,75,BROADWAY,10463,208,283,POINT (-73.90302551999997 40.881382220000035)
348 4 Ave,3009800023.0,3021047,39,Staples,40.67366488,-73.98597284,Park Slope-Gowanus,348,49,4 AVE,11215,306,119,POINT (-73.98597283999999 40.67366488000005)
