Borough,CouncilDist,Food_Scrap_Drop_Off_Site_Name,Hours_from,Hours_to,Latitude,Location,Longitude,NTAName,Notes,ObjectId,Operation_Day,Open_Months,Serviced_by,Website,boroCD,ct2010,point,zip_code
Bronx,8,Brook Park,6pm,10am,40.809600830078125,494 East 141 St.,-73.918701171875,Mott Haven-Port Morris,,,Saturday,Year Round,Brook Park,,201,4000,POINT (-73.9187 40.809599),10454
Bronx,16,OPENING JULY 10: 170 Farmstand,05:30 PM,02:30 PM,40.83998489379883,"Townsend Ave & 170 St, Bronx",-73.91681671142578,West Concourse,,,Wednesdays,"Seasonal Market, July-November",GrowNYC,https://www.grownyc.org/compost/locations; https://newsettlement.org/food/170farmstand/,204,223,POINT (-73.91682 40.839985),10452
Manhattan,3,Hudson Blvd Park,06:00 PM,10:00 AM,40.75555419921875,5 Hudson Blvd East,-74.00035095214844,Hudson Yards-Chelsea-Flatiron-Union Square,,,Thursdays,Year Round,Hudson Yards/ Hell's Kitchen Alliance,hyhalliance.org,104,99,POINT (-74.000348 40.755554),10001
Staten Island,49,Olivet Heavenly Harvest,01:00 PM,10:00 AM,40.63019943237305,"97 Myrtle Avenue, Staten Island, NY",-74.115966796875,New Brighton-Silver Lake,,,Saturdays,"Seasonal, March-November",Olivet Presbyterian Church,www.olivetcares.org,501,4006,POINT (-74.115963 40.630199),10310
Brooklyn,43,4th Avenue Presbyterian Church,12:00 PM,Dawn,40.63547134399414,6753 4th Avenue,-74.02279663085938,Bay Ridge,,,Saturdays,Year Round,4th Avenue Presbyterian Church,http://www.fourthavenuepresbyterian.org/,310,1004,POINT (-74.0228 40.635473),11220
Brooklyn,45,Wyckoff Farmhouse Museum,04:00 PM,11:00 AM,40.6443977355957,5816 Clarendon Rd,-73.92073822021484,Rugby-Remsen Village,,,Fridays,Year Round,Wyckoff Farmhouse Museum,myckoffmuseum.org,317,3000,POINT (-73.920739 40.644399),11203
Manhattan,10,OPEN FOR SEASON: Fort Washington Greenmarket,3pm,8am,40.84215545654297,"168th Street at Fort Washington,New York,NY 10032",-73.94227600097656,Washington Heights South,,,Tuesday,"Seasonal Market, June-November",GrowNYC,http://www.grownyc.org/compost/locations,112,251,POINT (-73.94227826999997 40.842153850000045),10032
Manhattan,2,DeColores Community Yard,dusk,dawn,40.72543716430664,313 E 8th St,-73.9797134399414,Lower East Side,,,Everyday,Year Round,Loisaida United Neighborhood Gardens (LUNGS),http://www.lungsnyc.org/,103,2000,POINT (-73.97971 40.725436),10009
Bronx,17,Mary Mitchell Center,06:00 PM,10:00 AM,40.844940185546875,"2007 Mapes Ave, Bronx 10460 at E 178th St",-73.88741302490234,East Tremont,,,Monday,Year Round- following the DOE calendar. Please look at https://www.schools.nyc.gov/calendar for closures.,Mary Mitchell Center,http://themarymitchellfyc.org/,206,2001,POINT (-73.887411 40.844941),10460
Manhattan,6,B'nai Jeshurun Community House,9pm,7am,40.790374755859375,270 West 89th Street,-73.97599792480469,Upper West Side,,,Monday,Year Round,B'nai Jeshrun,www.bj.org,107,4001,POINT (-73.975999 40.79037300000001),10024
