Address,Borough,Items_Accepted,Latitude,Longitude,Vendor_Name
137-57 Farmers Blvd,Queens,"Clothing, Shoes",40.672527,-73.763826,Usagain LLC
476 Seneca Ave,Queens,"Clothing, Shoes",40.705748,-73.91285,Usagain LLC
344 Avenue X,Brooklyn,"Clothing, Shoes, Coats, Towels",40.590297,-73.970422,Carecycle Inc
2008 Webster Ave,Bronx,"Clothing, Shoes",40.850287,-73.899009,Usagain LLC
500 5 Ave,Manhattan,Contact store for details,40.7225111,-73.999577,Zara
10 Columbus Circle,Manhattan,Contact store for details,40.7682882,-73.982832,J. Crew
10 W 13th St,Manhattan,Contact store for details,40.735526,-73.9951,beacon's closet
124 Henry St,Brooklyn,"Clothing, Shoes, Coats",40.697034,-73.993706,First Presbyterian Church
1859 Richmond Ave,Staten Island,"Clothing, Shoes, Accessories, Bedding And Linens, Towels , Coats",40.602432,-74.162507,American Recycling Resources
1260 Franklin Ave,Bronx,"Clothing, Shoes",40.830895,-73.902386,Usagain LLC
424 Dean St,Brooklyn,"Clothing, Shoes, Coats",40.682123,-73.977161,Cuyler Warren United Methodist Church
2064 Mill Ave,Brooklyn,"Clothing, Shoes, Coats, Towels",40.615402,-73.914351,Carecycle Inc
144-31 Farmers Blvd,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.667542,-73.766448,Helpsy
2845 Briggs Ave,Bronx,"Clothing, Shoes, Coats, Accessories",40.869353,-73.888989,Our Lady of Refuge Thrift Shop
19 Fort Pl,Staten Island,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.64214,-74.078983,Helpsy
2540 Linden Blvd,Brooklyn,"Clothing, Shoes",40.66685,-73.870161,Planet Aid
32-09 21 St,Queens,"Clothing, Shoes",40.764843,-73.931744,Usagain LLC
2494 Frederick Douglass Blvd,Manhattan,"Clothing, Shoes, Coats, Accessories",40.815298,-73.947004,Neighborhood Women's Collective
40-13 Astoria Blvd,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.769509,-73.909832,Helpsy
66 5 Ave,Brooklyn,"Clothing, Shoes, Linens, Accessories",40.681119,-73.977516,Life Boutique Thrift
195-05 69 Ave,Queens,"Clothing, Shoes, Coats, Accessories, Bedding, Towels, Other",40.737581,-73.778058,American Recycling Technologies Inc.
268 W 96 St,Manhattan,"Clothing, Shoes, Accessories, Coats, Bedding And Linens, Rugs",40.794824,-73.972741,The Salvation Army Of Greater New York
1811 Pitkin Ave,Brooklyn,"Clothing, Shoes",40.670619,-73.906232,Usagain LLC
409 E 95th St,Brooklyn,"Clothing, Shoes, Coats",40.65729,-73.918304,The Hope Center Development Corporation
85-42 Woodhaven Blvd,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.695524,-73.853295,Helpsy
126 5th Ave,Manhattan,"Clothing, Shoes, Purses, Gloves, Scarves, Hats, belts, Towels, Curtains, Bedding and Linens. Clean Rags and Torn Clothing",40.7385,-73.9922,Athleta
23 - 25 Fulton Street,New York,"Clothing & shoes. Bring in a minimum of 5 items & receive 15% off your next purchase. All brands in clean, dry condition accepted. Visit or call store for more details. I:CO partner - https://www.ico-spirit.com/en/",40.7072208,-74.003655,GUESS
21 Manhattan Ave,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.703146,-73.945075,Helpsy
3680 E Tremont Ave,Bronx,"Clothing, Shoes",40.827049,-73.823067,Usagain LLC
366 Watchogue Rd,Staten Island,"Clothing, Shoes, Coats",40.616308,-74.141521,H&M Leasing Corp
1380 Pennsylvania Ave,Brooklyn,"Clothing, Shoes",40.646957,-73.882694,Usagain LLC
35-15 Greenpoint Ave,Queens,"Clothing, Shoes",40.737534,-73.930585,Usagain LLC
3811 Surf Ave,Brooklyn,"Clothing, Shoes, Coats",40.574878,-74.005545,Housing for Homeless Seniors (Met Council on Jewish Poverty)
546 Broadway,Manhattan,UNIQLO Clothing,40.723512,-73.998214,UNIQLO
118-1 Rockaway Blvd,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.676568,-73.82006,Helpsy
928 Mother Gaston Blvd,Brooklyn,"Clothing, Shoes",40.65554,-73.903672,Usagain LLC
929 Marcy Ave,Brooklyn,"Clothing, Shoes, Coats",40.680965,-73.946195,Agape Social Service Beulah
601 EAST FORDHAM RD,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.858599,-73.884888,USAGAIN LLC
48 Wall St,Manhattan,"Clothing, Shoes, Coats",40.706561,-74.00906,Court Appointed Special Advocates
219 Beach 28 St,Queens,"Clothing, Shoes, Coats",40.595513,-73.761449,Justice Organization
951 E 233 St,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.891291,-73.849878,Usagain LLC
1602 Bronxdale Ave,Bronx,"Clothing, Shoes",40.843823,-73.856907,Usagain LLC
135-11 Hillside Ave,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.704146,-73.818936,Helpsy
149-28 14 Ave,Queens,"Clothing, Shoes, Coats, Towels",40.788349,-73.815009,Carecycle Inc
191 E 3 St,Manhattan,Contact store for details,40.723076,-73.98342,Jane's Exchange
64-01 108 St,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.732916,-73.849313,Helpsy
1240 Morrison Ave,Bronx,"Clothing, Shoes",40.830369,-73.87448,Usagain LLC
252 E 153rd St,Bronx,"Clothing, Shoes, Coats",40.820423,-73.921965,Greater Universal Baptist Church
1039 Madison Ave,Manhattan,Contact store for details,40.776511,-73.961675,Eileen Fisher
1475 Flatbush Ave,Brooklyn,"Clothing, Shoes",40.63465,-73.949185,Usagain LLC
14-79 Beach Channel Dr,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.609873,-73.753869,Helpsy
190-05 Union Tpke,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.730036,-73.779271,Helpsy
1804 Ralph Ave,Brooklyn,"Clothing, Shoes, Accessories",40.633112,-73.919042,Community Recycling LLC
1051 3rd Ave,Manhattan,Used Athletic Shoes collected on behalf of MORE Foundation.,40.7635378,-73.964853,JackRabbit
6501 New Utreacht Ave,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.623181,-73.997534,Helpsy
4525 HENRY HUDSON pkwy,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.89234,-73.90931,USAGAIN LLC
557 Pennsylvania Ave,Brooklyn,"Clothing, Shoes",40.663763,-73.893497,Usagain LLC
1566 Bedford Ave,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.669094,-73.955981,Helpsy
141-40 Northern Blvd,Queens,"Clothing, Shoes",40.764272,-73.823986,Usagain LLC
4741 White Plains Rd,Bronx,"Clothing, Shoes",40.904689,-73.850021,Usagain LLC
162-10 Jamaica Ave,Queens,"Clothing, Shoes, Coats, Accessories",40.704084,-73.79715,MYUNIQUE Thrift Jamaica
2111 Atlantic Ave,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.676517,-73.909321,Helpsy
60 West 132nd St,Manhattan,"Clothing, Shoes, Coats",40.811508,-73.94108,Bethel African Methodist Episcopal Church
716 Prospect Ave,Brooklyn,"Clothing, Shoes",40.656152,-73.977303,Usagain LLC
4021 Flatlands Ave,Brooklyn,"Clothing, Shoes, Coats, Accessories, Towels, Bedding",40.622778,-73.9333,Purpose Life Church
2164 Ralph Ave,Brooklyn,"Clothing, Shoes, Coats, Towels",40.62444,-73.91811,Carecycle Inc
5 FINGERBOARD RD,Staten Island,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.609385,-74.06301,USAGAIN LLC
1610 Bushwick Ave,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.680464,-73.903385,Helpsy
229 Knickerbocker Ave,Brooklyn,"Clothing, Shoes, Coats",40.703128,-73.925419,H&M Leasing Corp
817 Livonia Ave,Brooklyn,Shoes,40.666146,-73.88631,New Hope Family Worship Center
1317 Oak Point Ave,Bronx,"Clothing, Shoes",40.810681,-73.884893,Planet Aid
1738 E GUN HILL RD,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.8647024,-73.835726,USAGAIN LLC
1003 Clarkson Ave,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.658436,-73.924742,Helpsy
1250 Shakespeare Ave,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.838455,-73.92287,Helpsy
3578 Boston Rd,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.878387,-73.843646,Usagain LLC
2040 BRUCKNER blvd,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.82597,-73.85454,USAGAIN LLC
